property_id;street_address;city;zipcode;state;latitude;longitude;beds;baths;living_area;lot_area
2148485912;942 S Rimpau Blvd;Los Angeles;90019;CA;34.057682;-118.332985;4;3;2159;7353
1449966788;7321 Dunfield Ave;Los Angeles;90045;CA;33.975139;-118.398287;5;3;3146;6151
1246134678;2631 Range Rd;Los Angeles;90065;CA;34.130146;-118.224001;3;2;1428;5402
1441038706;651 E 138th St;Los Angeles;90059;CA;33.906671;-118.263444;2;1;840;5001
2291993908;2334 Veteran Ave;Los Angeles;90064;CA;34.040078;-118.432124;3;3;2300;6480
1986706232;140 S Vista St;Los Angeles;90036;CA;34.072307;-118.351872;5;3;2687;7004
2920722144;2911 S Ridgeley Dr;Los Angeles;90016;CA;34.027319;-118.363611;4;4;2195;3001
2543209923;1332 Lucile Ave;Los Angeles;90026;CA;34.08787;-118.280329;2;1;1106;7349
1658289704;1656 S Hayworth Ave;Los Angeles;90035;CA;34.046056;-118.368717;3;1;1363;6374
1262732543;620 E 76th St;Los Angeles;90001;CA;33.970903;-118.264238;3;2;1172;5738
1934244009;1033 S Hudson Ave;Los Angeles;90019;CA;34.056095;-118.335664;4;3;2129;7061
2440923134;2043 W 41st Pl;Los Angeles;90062;CA;34.008386;-118.316931;3;2;1434;5884
2409370254;2866 Angelo Dr;Los Angeles;90077;CA;34.1264;-118.44151;3;3;2453;1244627
2513471701;933 Manzanita St;Los Angeles;90029;CA;34.089395;-118.283805;3;2;1653;7440
1482268137;728 Woodruff Ave;Los Angeles;90024;CA;34.068863;-118.432935;5;4;4007;9200
2424001249;2735 Federal Ave;Los Angeles;90064;CA;34.025491;-118.438953;3;1;1168;5397
1137851221;2256 Laurel Canyon Blvd;Los Angeles;90046;CA;34.110994;-118.372999;2;2;928;5249
9709937715;1408 N Stanley Ave;Los Angeles;90046;CA;34.096489;-118.355695;3;4;1880;1285
2104901206;2729 W 75th St;Los Angeles;90043;CA;33.972125;-118.324107;2;1;993;6702
2077510739;6748 3rd Ave;Los Angeles;90043;CA;33.976846;-118.320375;2;1;1144;4803
2173270913;701 N Vendome St;Los Angeles;90026;CA;34.079785;-118.27736;3;1;1458;6212
1833206500;2911 Antelo View Dr;Los Angeles;90077;CA;34.126383;-118.465133;9;14;15360;233482
2642394192;12323 23rd Helena Dr;Los Angeles;90049;CA;34.059788;-118.481678;4;4;3089;10202
1823672808;1441 Livonia Ave;Los Angeles;90035;CA;34.054078;-118.386694;4;5;2721;6399
2653368049;1716 Micheltorena St;Los Angeles;90026;CA;34.091953;-118.272644;4;4;3038;7527
2367750494;538 N Harper Ave;Los Angeles;90048;CA;34.081224;-118.368732;4;5;3520;5894
1926215384;9535 Defiance Ave;Los Angeles;90002;CA;33.949624;-118.245512;2;1;560;2926
1792111704;1468 12th Ave;Los Angeles;90019;CA;34.044586;-118.325709;6;3;2162;5488
2938340712;2374 Landa St;Los Angeles;90039;CA;34.096404;-118.250193;1;1;520;2200
2684370165;1326 E 43rd Pl;Los Angeles;90011;CA;34.004559;-118.251168;2;1;1152;4867
1589608572;1656 S Crescent Heights Blvd;Los Angeles;90035;CA;34.047399;-118.3732;4;3;1681;4400
2010357510;3131 Hyde Park Blvd;Los Angeles;90043;CA;33.980804;-118.327603;5;2;1012;2250
1740681554;1739 Preuss Rd;Los Angeles;90035;CA;34.047724;-118.385083;3;2;1508;5489
1391533790;6453 W 80th Pl;Los Angeles;90045;CA;33.966469;-118.401629;3;2;1831;6085
1332568919;8232 Holmes Ave;Los Angeles;90001;CA;33.963396;-118.240715;2;2;708;5746
2643808372;1021 W 108th St;Los Angeles;90044;CA;33.938341;-118.292824;4;3;1529;4554
2590827574;1743 W 59th Pl;Los Angeles;90047;CA;33.986953;-118.308211;3;2;1023;3350
1424474957;4622 Nob Hill Dr;Los Angeles;90065;CA;34.111909;-118.217985;3;3;1812;7658
2642512288;1184 N Normandie Ave;Los Angeles;90029;CA;34.093152;-118.300169;2;1;1188;6752
2600223666;4121 Zamora St;Los Angeles;90011;CA;34.00856;-118.253114;2;1;1048;2648
1083557892;2043 W 76th St;Los Angeles;90047;CA;33.971232;-118.314711;4;3;1700;6724
